Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
z3,3,10,10,1,1,1
z3,3,10,10,5,60,57
z3,3,10,10,10,60,60
z3,3,10,10,15,60,60
z3,3,10,10,20,60,60
z3,3,10,15,1,35,35
z3,3,10,15,5,60,60
z3,3,10,15,10,60,60
z3,3,10,15,15,60,60
z3,3,10,15,20,60,60
z3,3,10,20,1,60,55
z3,3,10,20,5,60,60
z3,3,10,20,10,60,60
z3,3,10,20,15,60,60
z3,3,10,20,20,60,60
z3,3,15,10,1,1,1
z3,3,15,10,5,60,58
z3,3,15,10,10,60,58
z3,3,15,10,15,60,60
z3,3,15,10,20,60,60
z3,3,15,15,1,53,39
z3,3,15,15,5,60,60
z3,3,15,15,10,60,60
z3,3,15,15,15,60,60
z3,3,15,15,20,60,60
z3,3,15,20,1,60,52
z3,3,15,20,5,60,60
z3,3,15,20,10,60,60
z3,3,15,20,15,60,60
z3,3,15,20,20,60,60
z3,3,20,10,1,1,1
z3,3,20,10,5,60,53
z3,3,20,10,10,60,58
z3,3,20,10,15,60,60
z3,3,20,10,20,60,60
z3,3,20,15,1,44,37
z3,3,20,15,5,60,59
z3,3,20,15,10,60,60
z3,3,20,15,15,60,60
z3,3,20,15,20,60,60
z3,3,20,20,1,60,54
z3,3,20,20,5,60,60
z3,3,20,20,10,60,60
z3,3,20,20,15,60,60
z3,3,20,20,20,60,60
z3,3,50,10,1,1,1
z3,3,50,10,5,60,58
z3,3,50,10,10,60,58
z3,3,50,10,15,60,60
z3,3,50,10,20,60,60
z3,3,50,15,1,44,38
z3,3,50,15,5,60,60
z3,3,50,15,10,60,60
z3,3,50,15,15,60,60
z3,3,50,15,20,60,60
z3,3,50,20,1,60,57
z3,3,50,20,5,60,60
z3,3,50,20,10,60,60
z3,3,50,20,15,60,60
z3,3,50,20,20,60,60
z3,5,10,10,1,1,1
z3,5,10,10,5,60,58
z3,5,10,10,10,60,60
z3,5,10,10,15,60,60
z3,5,10,10,20,60,60
z3,5,10,15,1,40,34
z3,5,10,15,5,60,60
z3,5,10,15,10,60,60
z3,5,10,15,15,60,60
z3,5,10,15,20,60,60
z3,5,10,20,1,60,57
z3,5,10,20,5,60,60
z3,5,10,20,10,60,60
z3,5,10,20,15,60,60
z3,5,10,20,20,60,60
z3,5,15,10,1,1,1
z3,5,15,10,5,60,54
z3,5,15,10,10,60,60
z3,5,15,10,15,60,60
z3,5,15,10,20,60,60
z3,5,15,15,1,60,40
z3,5,15,15,5,60,60
z3,5,15,15,10,60,60
z3,5,15,15,15,60,60
z3,5,15,15,20,60,60
z3,5,15,20,1,60,60
z3,5,15,20,5,60,60
z3,5,15,20,10,60,60
z3,5,15,20,15,60,60
z3,5,15,20,20,60,60
z3,5,20,10,1,1,1
z3,5,20,10,5,60,58
z3,5,20,10,10,60,60
z3,5,20,10,15,60,60
z3,5,20,10,20,60,58
z3,5,20,15,1,19,30
z3,5,20,15,5,60,60
z3,5,20,15,10,60,60
z3,5,20,15,15,60,60
z3,5,20,15,20,60,60
z3,5,20,20,1,60,60
z3,5,20,20,5,60,58
z3,5,20,20,10,60,60
z3,5,20,20,15,60,60
z3,5,20,20,20,60,60
z3,5,50,10,1,1,1
z3,5,50,10,5,60,60
z3,5,50,10,10,60,60
z3,5,50,10,15,60,60
z3,5,50,10,20,60,60
z3,5,50,15,1,60,37
z3,5,50,15,5,60,60
z3,5,50,15,10,60,60
z3,5,50,15,15,60,60
z3,5,50,15,20,60,60
z3,5,50,20,1,60,60
z3,5,50,20,5,60,60
z3,5,50,20,10,60,60
z3,5,50,20,15,60,60
z3,5,50,20,20,60,60
z3,8,10,10,1,0,0
z3,8,10,10,5,60,56
z3,8,10,10,10,60,60
z3,8,10,10,15,60,60
z3,8,10,10,20,60,60
z3,8,10,15,1,60,40
z3,8,10,15,5,60,60
z3,8,10,15,10,60,60
z3,8,10,15,15,60,60
z3,8,10,15,20,60,60
z3,8,10,20,1,60,57
z3,8,10,20,5,60,60
z3,8,10,20,10,60,60
z3,8,10,20,15,60,60
z3,8,10,20,20,60,60
z3,8,15,10,1,0,0
z3,8,15,10,5,60,54
z3,8,15,10,10,60,60
z3,8,15,10,15,60,60
z3,8,15,10,20,60,60
z3,8,15,15,1,55,34
z3,8,15,15,5,60,60
z3,8,15,15,10,60,60
z3,8,15,15,15,60,60
z3,8,15,15,20,60,60
z3,8,15,20,1,60,59
z3,8,15,20,5,60,58
z3,8,15,20,10,60,60
z3,8,15,20,15,60,60
z3,8,15,20,20,60,60
z3,8,20,10,1,0,0
z3,8,20,10,5,60,59
z3,8,20,10,10,60,60
z3,8,20,10,15,60,60
z3,8,20,10,20,60,60
z3,8,20,15,1,48,35
z3,8,20,15,5,60,60
z3,8,20,15,10,60,60
z3,8,20,15,15,60,60
z3,8,20,15,20,60,60
z3,8,20,20,1,60,56
z3,8,20,20,5,60,60
z3,8,20,20,10,60,60
z3,8,20,20,15,60,60
z3,8,20,20,20,60,60
z3,8,50,10,1,0,0
z3,8,50,10,5,60,58
z3,8,50,10,10,60,60
z3,8,50,10,15,60,60
z3,8,50,10,20,60,60
z3,8,50,15,1,13,27
z3,8,50,15,5,60,60
z3,8,50,15,10,60,60
z3,8,50,15,15,60,60
z3,8,50,15,20,60,60
z3,8,50,20,1,60,60
z3,8,50,20,5,60,60
z3,8,50,20,10,60,60
z3,8,50,20,15,60,60
z3,8,50,20,20,60,60
