Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,IN Square 2 Count 8,15,10,15,30,30
erlang,IN Square 2 Count 8,15,10,20,30,30
erlang,IN Square 2 Count 8,15,15,1,30,30
erlang,IN Square 2 Count 8,15,15,5,30,30
erlang,IN Square 2 Count 8,15,15,10,30,30
erlang,IN Square 2 Count 8,15,15,15,30,30
erlang,IN Square 2 Count 8,15,15,20,30,25
erlang,IN Square 2 Count 8,15,20,1,30,27
erlang,IN Square 2 Count 8,15,20,5,30,28
erlang,IN Square 2 Count 8,15,20,10,30,29
erlang,IN Square 2 Count 8,15,20,15,30,24
erlang,IN Square 2 Count 8,15,20,20,13,17
erlang,IN Square 2 Count 8,20,10,1,30,30
erlang,IN Square 2 Count 8,20,10,5,30,30
erlang,IN Square 2 Count 8,20,10,10,30,30
erlang,IN Square 2 Count 8,20,10,15,30,30
erlang,IN Square 2 Count 8,20,10,20,30,30
erlang,IN Square 2 Count 8,20,15,1,30,30
erlang,IN Square 2 Count 8,20,15,5,30,30
erlang,IN Square 2 Count 8,20,15,10,30,30
erlang,IN Square 2 Count 8,20,15,15,30,30
erlang,IN Square 2 Count 8,20,15,20,30,30
erlang,IN Square 2 Count 8,20,20,1,30,30
erlang,IN Square 2 Count 8,20,20,5,30,30
erlang,IN Square 2 Count 8,20,20,10,30,30
erlang,IN Square 2 Count 8,20,20,15,30,30
erlang,IN Square 2 Count 8,20,20,20,30,30
erlang,IN Square 2 Count 8,50,10,1,30,30
erlang,IN Square 2 Count 8,50,10,5,30,30
erlang,IN Square 2 Count 8,50,10,10,30,30
erlang,IN Square 2 Count 8,50,10,15,30,30
erlang,IN Square 2 Count 8,50,10,20,30,30
erlang,IN Square 2 Count 8,50,15,1,30,30
erlang,IN Square 2 Count 8,50,15,5,30,30
erlang,IN Square 2 Count 8,50,15,10,30,30
erlang,IN Square 2 Count 8,50,15,15,30,30
erlang,IN Square 2 Count 8,50,15,20,30,30
erlang,IN Square 2 Count 8,50,20,1,30,30
erlang,IN Square 2 Count 8,50,20,5,30,30
erlang,IN Square 2 Count 8,50,20,10,30,30
erlang,IN Square 2 Count 8,50,20,15,30,30
erlang,IN Square 2 Count 8,50,20,20,30,30
